vars,sitename,X,Y
SAL,DWER_SWANEST_6160121_Profile_3017,115.975159,-31.891316
SAL,DWER_SWANEST_6160258_Profile_3038,115.784129,-32.017126
SAL,DWER_SWANEST_6160259_Profile_3067,115.808950,-32.007069
SAL,DWER_SWANEST_6160262_Profile_3096,115.848780,-31.963657
SAL,DWER_SWANEST_6160263_Profile_3126,115.885341,-31.954845
SAL,DWER_SWANEST_6160764_Profile_3157,115.908173,-31.939807
SAL,DWER_SWANEST_6160930_Profile_3181,115.979641,-31.887654
SAL,DWER_SWANEST_6161086_Profile_3221,116.009083,-31.864404
SAL,DWER_SWANEST_6161821_Profile_3268,115.961026,-31.912582
SAL,DWER_SWANEST_6161854_Profile_3317,115.989546,-31.887859
SAL,DWER_SWANEST_6161869_Profile_3347,115.835349,-31.994892
SAL,DWER_SWANEST_6161870_Profile_3373,115.913400,-31.951372
SAL,DWER_SWANEST_6161878_Profile_3404,115.940132,-31.921404
SAL,DWER_SWANEST_6161879_Profile_3445,115.959250,-31.898440
SAL,DWER_SWANEST_6162045_Profile_3478,115.963213,-31.904373
SAL,DWER_SWANEST_6162300_Profile_3501,115.961691,-31.900481
SAL,DWER_SWANEST_6163485_Profile_3516,115.950949,-31.922684
SAL,DWER_SWANEST_6163500_Profile_3535,115.995600,-31.856300
SAL,DWER_SWANEST_6163833_Profile_3546,116.002700,-31.861400
SAL,DWER_SWANEST_6163857_Profile_3554,115.991249,-31.883876
SAL,DWER_SWANEST_6163932_Profile_3563,115.991300,-31.881100
SAL,DWER_SWANEST_6164323_Profile_3571,115.941618,-31.920072
SAL,DWER_SWANEST_6167114_Profile_3588,115.971332,-31.894387
SAL,DWER_SWANEST_6167160_Profile_3611,115.844250,-31.998889
TEMP,DWER_CANEST_6160487_Profile_804,115.884958,-32.023285
TEMP,DWER_CANEST_6161836_Profile_831,115.942100,-32.029700
TEMP,DWER_CANEST_6161837_Fixed_876,115.901182,-32.027504
TEMP,DWER_CANEST_6161837_Floating_877,115.901182,-32.027504
