field_1,field_2,field_3
"8752","0","0"
"8753","33","33"
"8754","93","93"
"8755","0","0"
"8756","0","0"
"8757","7","7"
"8758","31","31"
"8759","0","0"
"8760","1","1"
"8761","6","6"
"8762","0","0"
"8763","10","10"
"8764","24","24"
"8765","31","31"
"8766","169","169"
"8767","57","57"
"8768","0","0"
"8769","0","0"
"8770","0","0"
"8771","4","4"
"8772","0","0"
"8773","0","0"
"8774","0","0"
"8775","0","0"
"8776","0","0"
"8777","0","0"
"8778","13","13"
"8779","9","9"
"8780","0","0"
"8781","0","0"
"8782","0","0"
"8783","0","0"
"8784","0","0"
"8785","0","0"
"8786","0","0"
"8787","0","0"
"8788","0","0"
"8789","0","0"
"8790","0","0"
"8791","0","0"
"8792","0","0"
"8793","56","56"
"8794","0","0"
"8795","0","0"
"8796","0","0"
"8797","0","0"
"8798","0","0"
"8799","0","0"
"8800","0","0"
"8801","540","540"
"8802","276","276"
"8803","595","595"
"8804","0","0"
"8805","0","0"
"8806","0","0"
"8807","410","410"
"8808","198","198"
"8809","0","0"
"8810","301","301"
"8811","5","5"
"8812","0","0"
"8813","667","667"
"8814","0","0"
"8815","414","414"
"8816","647","647"
"8817","0","0"
"8818","412","412"
"8819","0","0"
"8820","0","0"
"8821","0","0"
"8822","0","0"
"8823","0","0"
"8824","40","40"
"8825","0","0"
"8826","627","627"
"8827","0","0"
"8828","103","104"
"8829","0","0"
"8830","0","0"
"8831","332","332"
"8832","0","0"
"8833","1","1"
"8834","30","31"
"8835","0","0"
"8836","0","0"
"8837","0","0"
"8838","0","0"
"8839","0","0"
"8840","0","0"
"8841","0","0"
"8842","86","88"
"8843","0","0"
"8844","0","0"
"8845","0","0"
"8846","0","0"
"8847","0","0"
"8848","3","4"
"8849","0","0"
"8850","1146","1254"
"8851","0","0"
"8852","90465","102989"
"8854","718","831"
"8855","0","0"
"8856","48233","55183"
"8858","0","0"
"8859","1025","1316"
"8860","39824","46531"
"8862","0","0"
"8863","0","4"
"8864","40054","45729"
"9337","0","0"
"9338","0","0"
"9339","0","0"
"9340","235","235"
"9341","0","0"
"9342","0","0"
"9343","0","0"
"9344","0","0"
"9345","0","0"
"9346","0","0"
"9347","0","0"
"9348","0","0"
"9349","0","0"
"9350","0","0"
"9351","0","0"
"9352","0","0"
"9353","135","135"
"9354","0","0"
"9355","0","0"
"9356","47","47"
"9357","634","634"
"9358","47","47"
"9359","0","0"
"9360","34","35"
"9361","300","300"
"9362","195","195"
"9363","0","0"
"9364","0","0"
"9365","0","0"
"9366","532","532"
"9367","0","0"
"9368","0","0"
"9369","0","0"
"9370","2","2"
"9371","8","8"
"9372","0","0"
"9373","29","29"
"9374","0","0"
"9375","0","0"
"9376","0","0"
"9377","0","0"
"9378","0","0"
"9379","0","0"
"9380","0","0"
"9381","0","0"
"9382","27","28"
"9383","0","0"
"9384","2","3"
"9385","0","0"
"9386","0","0"
"9387","629","629"
"9388","0","0"
"9389","0","0"
"9390","0","0"
"9391","0","0"
"9392","786","786"
"9393","0","0"
"9394","50","50"
"9395","0","0"
"9396","0","0"
"9397","43","43"
"9398","0","0"
"9399","38","38"
"9400","0","0"
"9401","795","795"
"9402","0","0"
"9403","152","152"
"9404","722","722"
"9405","514","515"
"9406","420","420"
"9407","0","0"
"9408","0","0"
"9409","0","0"
"9410","555","555"
"9411","415","415"
"9412","0","0"
"9413","0","0"
"9414","0","0"
"9415","0","0"
"9416","232","232"
"9417","1077","1077"
"9418","0","0"
"9419","0","0"
"9420","44","45"
"9421","0","0"
"9422","0","0"
"9423","0","0"
"9424","0","0"
"9425","0","0"
"9426","8","9"
"9427","73","74"
"9428","142","144"
